ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
PA000086068,2022-01-03,TAVG,32.800000000000004,H,,S,
PA000086134,2022-01-03,TMAX,40.5,,,S,
PA000086134,2022-01-03,PRCP,13.0,,,S,
PA000086134,2022-01-03,TAVG,26.3,H,,S,
PA000086297,2022-01-03,TMAX,38.6,,,S,
PA000086297,2022-01-03,TMIN,22.0,,,S,
PA000086297,2022-01-03,PRCP,8.4,,,S,
PA000086297,2022-01-03,TAVG,27.400000000000002,H,,S,
PAM00086097,2022-01-03,TMAX,35.4,,,S,
PAM00086097,2022-01-03,TAVG,23.1,H,,S,
PAM00086128,2022-01-03,TMAX,42.0,,,S,
PAM00086128,2022-01-03,TMIN,25.400000000000002,,,S,
PAM00086128,2022-01-03,TAVG,29.0,H,,S,
PAM00086170,2022-01-03,TMAX,38.400000000000006,,,S,
PAM00086170,2022-01-03,TAVG,25.6,H,,S,
PAM00086185,2022-01-03,PRCP,9.1,,,S,
PAM00086185,2022-01-03,TAVG,25.5,H,,S,
PAM00086210,2022-01-03,TMAX,37.4,,,S,
PAM00086210,2022-01-03,PRCP,9.4,,,S,
PAM00086210,2022-01-03,TAVG,25.700000000000003,H,,S,
PAM00086218,2022-01-03,TMAX,36.0,,,S,
PAM00086218,2022-01-03,PRCP,24.400000000000002,,,S,
PAM00086218,2022-01-03,TAVG,25.400000000000002,H,,S,
PAM00086221,2022-01-03,TMAX,34.800000000000004,,,S,
PAM00086221,2022-01-03,TMIN,22.0,,,S,
PAM00086221,2022-01-03,PRCP,9.9,,,S,
PAM00086221,2022-01-03,TAVG,24.900000000000002,H,,S,
PAM00086233,2022-01-03,TMAX,37.0,,,S,
PAM00086233,2022-01-03,TMIN,21.0,,,S,
PAM00086233,2022-01-03,PRCP,10.9,,,S,
PAM00086233,2022-01-03,TAVG,23.400000000000002,H,,S,
PAM00086234,2022-01-03,TMAX,37.800000000000004,,,S,
PAM00086234,2022-01-03,TMIN,22.0,,,S,
PAM00086234,2022-01-03,TAVG,25.3,H,,S,
PAM00086255,2022-01-03,TMIN,25.0,,,S,
PAM00086255,2022-01-03,PRCP,9.9,,,S,
PAM00086255,2022-01-03,TAVG,30.200000000000003,H,,S,
PAM00086268,2022-01-03,TMAX,39.0,,,S,
PAM00086268,2022-01-03,TMIN,21.8,,,S,
PAM00086268,2022-01-03,PRCP,30.0,,,S,
PAM00086268,2022-01-03,TAVG,25.400000000000002,H,,S,
PAM00086285,2022-01-03,TMAX,38.0,,,S,
PAM00086285,2022-01-03,TMIN,20.5,,,S,
PAM00086285,2022-01-03,PRCP,1.5,,,S,
PAM00086285,2022-01-03,TAVG,24.700000000000003,H,,S,
PA000086068,2022-01-04,TMAX,43.0,,,S,
PA000086068,2022-01-04,TMIN,22.200000000000003,,,S,
PA000086068,2022-01-04,PRCP,1.0,,,S,
PA000086068,2022-01-04,TAVG,30.400000000000002,H,,S,
PA000086134,2022-01-04,TMIN,21.0,,,S,
PA000086134,2022-01-04,PRCP,2.3000000000000003,,,S,
PA000086134,2022-01-04,TAVG,26.3,H,,S,
PA000086297,2022-01-04,PRCP,0.0,,,S,
PA000086297,2022-01-04,TAVG,27.900000000000002,H,,S,
PAM00086097,2022-01-04,TMIN,18.8,,,S,
PAM00086097,2022-01-04,PRCP,38.1,,,S,
PAM00086097,2022-01-04,TAVG,25.6,H,,S,
PAM00086128,2022-01-04,TMAX,35.800000000000004,,,S,
PAM00086128,2022-01-04,TMIN,20.8,,,S,
PAM00086128,2022-01-04,TAVG,26.400000000000002,H,,S,
PAM00086170,2022-01-04,TMIN,20.5,,,S,
PAM00086170,2022-01-04,PRCP,43.2,,,S,
PAM00086170,2022-01-04,TAVG,28.3,H,,S,
PAM00086185,2022-01-04,TMIN,21.200000000000003,,,S,
PAM00086185,2022-01-04,PRCP,12.4,,,S,
PAM00086185,2022-01-04,TAVG,26.700000000000003,H,,S,
PAM00086192,2022-01-04,TMIN,21.400000000000002,,,S,
PAM00086192,2022-01-04,PRCP,48.0,,,S,
PAM00086192,2022-01-04,TAVG,26.6,H,,S,
PAM00086210,2022-01-04,TMAX,32.0,,,S,
PAM00086210,2022-01-04,TMIN,20.0,,,S,
PAM00086210,2022-01-04,PRCP,66.8,,,S,
PAM00086210,2022-01-04,TAVG,27.3,H,,S,
PAM00086218,2022-01-04,PRCP,7.1000000000000005,,,S,
PAM00086218,2022-01-04,TAVG,27.200000000000003,H,,S,
PAM00086221,2022-01-04,TMIN,21.6,,,S,
PAM00086221,2022-01-04,PRCP,0.0,,,S,
PAM00086221,2022-01-04,TAVG,27.6,H,,S,
PAM00086233,2022-01-04,TMIN,20.0,,,S,
PAM00086233,2022-01-04,PRCP,29.700000000000003,,,S,
PAM00086233,2022-01-04,TAVG,25.700000000000003,H,,S,
PAM00086234,2022-01-04,TMIN,20.400000000000002,,,S,
PAM00086234,2022-01-04,PRCP,4.6000000000000005,,,S,
PAM00086234,2022-01-04,TAVG,27.6,H,,S,
PAM00086255,2022-01-04,TMAX,38.0,,,S,
PAM00086255,2022-01-04,TMIN,23.0,,,S,
PAM00086255,2022-01-04,PRCP,0.0,,,S,
PAM00086255,2022-01-04,TAVG,29.3,H,,S,
PAM00086260,2022-01-04,TMIN,20.0,,,S,
PAM00086260,2022-01-04,TAVG,30.3,H,,S,
PAM00086268,2022-01-04,TMIN,21.8,,,S,
PAM00086268,2022-01-04,PRCP,15.0,,,S,
PAM00086268,2022-01-04,TAVG,26.200000000000003,H,,S,
PAM00086285,2022-01-04,TMIN,21.6,,,S,
PAM00086285,2022-01-04,PRCP,0.0,,,S,
PAM00086285,2022-01-04,TAVG,25.8,H,,S,
PA000086068,2022-01-05,TMIN,22.5,,,S,
PA000086068,2022-01-05,PRCP,39.400000000000006,,,S,
PA000086068,2022-01-05,TAVG,28.700000000000003,H,,S,
PA000086134,2022-01-05,TMAX,35.5,,,S,
PA000086134,2022-01-05,TMIN,25.0,,,S,
PA000086134,2022-01-05,PRCP,0.0,,,S,
PA000086134,2022-01-05,TAVG,29.700000000000003,H,,S,
PA000086297,2022-01-05,TMAX,33.800000000000004,,,S,
PA000086297,2022-01-05,TMIN,21.6,,,S,
PA000086297,2022-01-05,TAVG,26.5,H,,S,
PAM00086097,2022-01-05,TMAX,31.8,,,S,
PAM00086097,2022-01-05,TMIN,22.0,,,S,
PAM00086097,2022-01-05,PRCP,0.0,,,S,
PAM00086097,2022-01-05,TAVG,27.1,H,,S,
PAM00086170,2022-01-05,TMAX,36.4,,,S,
PAM00086170,2022-01-05,TMIN,24.400000000000002,,,S,
PAM00086170,2022-01-05,PRCP,0.0,,,S,
PAM00086170,2022-01-05,TAVG,30.700000000000003,H,,S,
PAM00086185,2022-01-05,TMIN,24.0,,,S,
PAM00086185,2022-01-05,PRCP,0.0,,,S,
PAM00086185,2022-01-05,TAVG,29.0,H,,S,
PAM00086192,2022-01-05,TMIN,23.400000000000002,,,S,
PAM00086192,2022-01-05,PRCP,0.0,,,S,
PAM00086192,2022-01-05,TAVG,28.8,H,,S,
PAM00086210,2022-01-05,TMIN,22.0,,,S,
PAM00086210,2022-01-05,PRCP,1.3,,,S,
PAM00086210,2022-01-05,TAVG,27.5,H,,S,
PAM00086218,2022-01-05,TMAX,35.6,,,S,
PAM00086218,2022-01-05,PRCP,0.0,,,S,
PAM00086218,2022-01-05,TAVG,29.8,H,,S,
PAM00086221,2022-01-05,TMIN,22.0,,,S,
PAM00086221,2022-01-05,TAVG,29.1,H,,S,
PAM00086233,2022-01-05,TMAX,34.4,,,S,
PAM00086233,2022-01-05,TMIN,21.6,,,S,
PAM00086233,2022-01-05,PRCP,0.0,,,S,
PAM00086233,2022-01-05,TAVG,27.700000000000003,H,,S,
PAM00086234,2022-01-05,TMAX,35.5,,,S,
PAM00086234,2022-01-05,TMIN,22.5,,,S,
PAM00086234,2022-01-05,PRCP,0.0,,,S,
PAM00086234,2022-01-05,TAVG,28.700000000000003,H,,S,
PAM00086255,2022-01-05,TMAX,39.0,,,S,
PAM00086255,2022-01-05,TMIN,20.0,,,S,
PAM00086255,2022-01-05,TAVG,30.8,H,,S,
PAM00086260,2022-01-05,TMAX,35.6,,,S,
PAM00086260,2022-01-05,TMIN,22.6,,,S,
PAM00086260,2022-01-05,TAVG,29.200000000000003,H,,S,
PAM00086268,2022-01-05,TMIN,21.400000000000002,,,S,
PAM00086268,2022-01-05,PRCP,0.0,,,S,
PAM00086268,2022-01-05,TAVG,27.400000000000002,H,,S,
PAM00086285,2022-01-05,TMAX,33.0,,,S,
PAM00086285,2022-01-05,TMIN,20.8,,,S,
PAM00086285,2022-01-05,PRCP,0.0,,,S,
PAM00086285,2022-01-05,TAVG,26.1,H,,S,
PA000086068,2022-01-06,TMAX,36.5,,,S,
PA000086068,2022-01-06,TMIN,22.6,,,S,
PA000086068,2022-01-06,PRCP,0.0,,,S,
PA000086068,2022-01-06,TAVG,28.0,H,,S,
PA000086134,2022-01-06,TMAX,35.4,,,S,
PA000086134,2022-01-06,TMIN,23.0,,,S,
PA000086134,2022-01-06,TAVG,29.900000000000002,H,,S,
PA000086297,2022-01-06,TMIN,20.0,,,S,
PA000086297,2022-01-06,TAVG,26.400000000000002,H,,S,
PAM00086097,2022-01-06,TMAX,31.8,,,S,
PAM00086097,2022-01-06,TMIN,20.200000000000003,,,S,
PAM00086097,2022-01-06,TAVG,26.6,H,,S,
PAM00086170,2022-01-06,TMAX,35.5,,,S,
PAM00086170,2022-01-06,TMIN,21.6,,,S,
PAM00086170,2022-01-06,TAVG,29.1,H,,S,
PAM00086185,2022-01-06,TMAX,34.0,,,S,
PAM00086185,2022-01-06,TMIN,23.400000000000002,,,S,
PAM00086185,2022-01-06,PRCP,4.1000000000000005,,,S,
PAM00086185,2022-01-06,TAVG,28.6,H,,S,
PAM00086192,2022-01-06,TMAX,36.0,,,S,
PAM00086192,2022-01-06,TMIN,21.400000000000002,,,S,
PAM00086192,2022-01-06,TAVG,27.5,H,,S,
PAM00086210,2022-01-06,TMIN,22.0,,,S,
PAM00086210,2022-01-06,PRCP,4.800000000000001,,,S,
PAM00086210,2022-01-06,TAVG,30.400000000000002,H,,S,
PAM00086218,2022-01-06,TMAX,34.800000000000004,,,S,
PAM00086218,2022-01-06,TMIN,23.8,,,S,
PAM00086218,2022-01-06,TAVG,29.1,H,,S,
PAM00086221,2022-01-06,TMAX,34.800000000000004,,,S,
PAM00086221,2022-01-06,TMIN,21.0,,,S,
PAM00086221,2022-01-06,TAVG,28.900000000000002,H,,S,
PAM00086233,2022-01-06,TMAX,33.0,,,S,
PAM00086233,2022-01-06,TMIN,23.0,,,S,
PAM00086233,2022-01-06,TAVG,27.200000000000003,H,,S,
PAM00086234,2022-01-06,TMAX,34.0,,,S,
PAM00086234,2022-01-06,TMIN,21.5,,,S,
PAM00086234,2022-01-06,TAVG,28.400000000000002,H,,S,
PAM00086255,2022-01-06,TMIN,19.0,,,S,
PAM00086255,2022-01-06,TAVG,29.5,H,,S,
PAM00086260,2022-01-06,TMAX,33.2,,,S,
PAM00086260,2022-01-06,TMIN,22.0,,,S,
PAM00086260,2022-01-06,TAVG,26.3,H,,S,
PAM00086268,2022-01-06,TMIN,21.8,,,S,
PAM00086268,2022-01-06,TAVG,29.1,H,,S,
PAM00086285,2022-01-06,TMIN,19.8,,,S,
PAM00086285,2022-01-06,TAVG,25.700000000000003,H,,S,
PA000086068,2022-01-07,TMIN,20.8,,,S,
PA000086068,2022-01-07,TAVG,30.3,H,,S,
PA000086134,2022-01-07,TMIN,23.0,,,S,
PA000086134,2022-01-07,TAVG,30.1,H,,S,
PA000086297,2022-01-07,TMIN,19.6,,,S,
PA000086297,2022-01-07,TAVG,27.5,H,,S,
PAM00086097,2022-01-07,TMAX,32.0,,,S,
PAM00086097,2022-01-07,TMIN,20.400000000000002,,,S,
PAM00086097,2022-01-07,TAVG,24.6,H,,S,
PAM00086128,2022-01-07,TMIN,21.5,,,S,
PAM00086128,2022-01-07,TAVG,29.6,H,,S,
PAM00086170,2022-01-07,TMIN,20.400000000000002,,,S,
PAM00086170,2022-01-07,TAVG,30.6,H,,S,
PAM00086185,2022-01-07,PRCP,0.0,,,S,
PAM00086185,2022-01-07,TAVG,29.0,H,,S,
PAM00086192,2022-01-07,TMAX,34.2,,,S,
PAM00086192,2022-01-07,TMIN,21.6,,,S,
PAM00086192,2022-01-07,TAVG,27.700000000000003,H,,S,
PAM00086210,2022-01-07,TMAX,34.2,,,S,
PAM00086210,2022-01-07,TMIN,23.0,,,S,
PAM00086210,2022-01-07,PRCP,0.0,,,S,
PAM00086210,2022-01-07,TAVG,29.200000000000003,H,,S,
PAM00086218,2022-01-07,TMIN,23.0,,,S,
PAM00086218,2022-01-07,TAVG,29.5,H,,S,
PAM00086221,2022-01-07,TMAX,34.800000000000004,,,S,
PAM00086221,2022-01-07,TMIN,20.6,,,S,
PAM00086221,2022-01-07,TAVG,28.3,H,,S,
PAM00086233,2022-01-07,TMIN,22.0,,,S,
PAM00086233,2022-01-07,TAVG,27.700000000000003,H,,S,
PAM00086234,2022-01-07,TMIN,22.400000000000002,,,S,
PAM00086234,2022-01-07,TAVG,27.900000000000002,H,,S,
PAM00086255,2022-01-07,TMAX,36.0,,,S,
PAM00086255,2022-01-07,TMIN,19.0,,,S,
PAM00086255,2022-01-07,TAVG,29.0,H,,S,
PAM00086260,2022-01-07,TMAX,33.800000000000004,,,S,
PAM00086260,2022-01-07,TMIN,22.0,,,S,
PAM00086260,2022-01-07,TAVG,27.3,H,,S,
PAM00086268,2022-01-07,TMAX,36.800000000000004,,,S,
PAM00086268,2022-01-07,TMIN,21.6,,,S,
PAM00086268,2022-01-07,TAVG,28.900000000000002,H,,S,
PAM00086285,2022-01-07,TMIN,19.6,,,S,
PAM00086285,2022-01-07,TAVG,26.3,H,,S,
PA000086068,2022-01-08,TMIN,22.400000000000002,,,S,
PA000086068,2022-01-08,TAVG,30.8,H,,S,
PA000086134,2022-01-08,TMAX,36.0,,,S,
PA000086134,2022-01-08,TMIN,23.0,,,S,
PA000086134,2022-01-08,TAVG,30.6,H,,S,
PA000086297,2022-01-08,TMAX,34.800000000000004,,,S,
PA000086297,2022-01-08,TMIN,21.400000000000002,,,S,
PA000086297,2022-01-08,TAVG,26.6,H,,S,
PAM00086097,2022-01-08,TMAX,31.0,,,S,
PAM00086097,2022-01-08,TMIN,19.6,,,S,
PAM00086097,2022-01-08,TAVG,25.900000000000002,H,,S,
PAM00086128,2022-01-08,TMAX,39.2,,,S,
PAM00086128,2022-01-08,TMIN,22.0,,,S,
PAM00086128,2022-01-08,TAVG,30.700000000000003,H,,S,
PAM00086170,2022-01-08,TMAX,37.4,,,S,
PAM00086170,2022-01-08,TMIN,20.8,,,S,
PAM00086170,2022-01-08,TAVG,30.900000000000002,H,,S,
PAM00086185,2022-01-08,TMAX,37.5,,,S,
PAM00086185,2022-01-08,TMIN,22.5,,,S,
PAM00086185,2022-01-08,TAVG,28.200000000000003,H,,S,
PAM00086192,2022-01-08,TMIN,23.200000000000003,,,S,
PAM00086192,2022-01-08,TAVG,28.3,H,,S,
PAM00086210,2022-01-08,TMAX,34.0,,,S,
PAM00086210,2022-01-08,TMIN,22.0,,,S,
PAM00086210,2022-01-08,PRCP,37.800000000000004,,,S,
PAM00086210,2022-01-08,TAVG,27.900000000000002,H,,S,
PAM00086218,2022-01-08,TMIN,22.6,,,S,
PAM00086218,2022-01-08,TAVG,29.400000000000002,H,,S,
PAM00086221,2022-01-08,TMAX,37.6,,,S,
PAM00086221,2022-01-08,TMIN,20.400000000000002,,,S,
PAM00086221,2022-01-08,TAVG,28.200000000000003,H,,S,
PAM00086234,2022-01-08,TMAX,35.2,,,S,
PAM00086234,2022-01-08,TMIN,20.5,,,S,
PAM00086234,2022-01-08,TAVG,26.5,H,,S,
PAM00086255,2022-01-08,TMAX,35.0,,,S,
PAM00086255,2022-01-08,TMIN,19.0,,,S,
PAM00086255,2022-01-08,TAVG,28.3,H,,S,
PAM00086260,2022-01-08,TMIN,21.8,,,S,
PAM00086260,2022-01-08,TAVG,29.400000000000002,H,,S,
PAM00086268,2022-01-08,TMAX,36.2,,,S,
PAM00086268,2022-01-08,TMIN,20.8,,,S,
PAM00086268,2022-01-08,TAVG,26.3,H,,S,
PAM00086285,2022-01-08,TMAX,34.0,,,S,
PAM00086285,2022-01-08,TMIN,19.900000000000002,,,S,
PAM00086285,2022-01-08,PRCP,9.4,,,S,
PAM00086285,2022-01-08,TAVG,24.400000000000002,H,,S,
PA000086068,2022-01-09,TMAX,39.6,,,S,
PA000086068,2022-01-09,TMIN,26.0,,,S,
PA000086068,2022-01-09,TAVG,30.6,H,,S,
PA000086134,2022-01-09,TMAX,36.2,,,S,
PA000086134,2022-01-09,TMIN,23.200000000000003,,,S,
PA000086134,2022-01-09,TAVG,30.400000000000002,H,,S,
PA000086297,2022-01-09,TMIN,18.6,,,S,
PA000086297,2022-01-09,PRCP,10.4,,,S,
PA000086297,2022-01-09,TAVG,26.8,H,,S,
PAM00086097,2022-01-09,TMAX,30.6,,,S,
PAM00086097,2022-01-09,TMIN,19.8,,,S,
PAM00086097,2022-01-09,TAVG,24.900000000000002,H,,S,
PAM00086128,2022-01-09,TMAX,40.400000000000006,,,S,
PAM00086128,2022-01-09,TMIN,23.6,,,S,
PAM00086128,2022-01-09,TAVG,31.3,H,,S,
PAM00086170,2022-01-09,TMAX,37.5,,,S,
PAM00086170,2022-01-09,TMIN,21.200000000000003,,,S,
PAM00086170,2022-01-09,TAVG,31.6,H,,S,
PAM00086185,2022-01-09,TMIN,21.8,,,S,
PAM00086185,2022-01-09,TAVG,29.1,H,,S,
PAM00086192,2022-01-09,TMAX,35.0,,,S,
PAM00086192,2022-01-09,TMIN,21.0,,,S,
PAM00086192,2022-01-09,TAVG,25.3,H,,S,
PAM00086210,2022-01-09,TMAX,33.2,,,S,
PAM00086210,2022-01-09,TMIN,19.5,,,S,
PAM00086210,2022-01-09,PRCP,11.200000000000001,,,S,
PAM00086210,2022-01-09,TAVG,26.5,H,,S,
PAM00086218,2022-01-09,TMAX,36.6,,,S,
PAM00086218,2022-01-09,PRCP,7.6000000000000005,,,S,
PAM00086218,2022-01-09,TAVG,25.1,H,,S,
PAM00086221,2022-01-09,TMAX,37.800000000000004,,,S,
PAM00086221,2022-01-09,TMIN,20.400000000000002,,,S,
PAM00086221,2022-01-09,TAVG,26.0,H,,S,
PAM00086233,2022-01-09,TMAX,34.4,,,S,
PAM00086233,2022-01-09,TMIN,20.0,,,S,
PAM00086233,2022-01-09,PRCP,1.5,,,S,
PAM00086233,2022-01-09,TAVG,25.0,H,,S,
PAM00086234,2022-01-09,TMAX,34.2,,,S,
PAM00086234,2022-01-09,TMIN,21.400000000000002,,,S,
PAM00086234,2022-01-09,TAVG,27.400000000000002,H,,S,
PAM00086255,2022-01-09,TMIN,22.0,,,S,
PAM00086255,2022-01-09,TAVG,32.1,H,,S,
PAM00086268,2022-01-09,TMIN,21.0,,,S,
PAM00086268,2022-01-09,TAVG,27.3,H,,S,
PAM00086285,2022-01-09,TMAX,33.0,,,S,
PAM00086285,2022-01-09,TMIN,16.900000000000002,,,S,
PAM00086285,2022-01-09,PRCP,12.200000000000001,,,S,
PAM00086285,2022-01-09,TAVG,23.200000000000003,H,,S,
PA000086068,2022-01-10,TMIN,23.200000000000003,,,S,
PA000086068,2022-01-10,PRCP,5.6000000000000005,,,S,
PA000086068,2022-01-10,TAVG,31.900000000000002,H,,S,
PA000086134,2022-01-10,TMAX,35.800000000000004,,,S,
PA000086134,2022-01-10,TMIN,21.0,,,S,
PA000086134,2022-01-10,TAVG,29.3,H,,S,
PA000086297,2022-01-10,TMIN,20.0,,,S,
PA000086297,2022-01-10,PRCP,0.0,,,S,
PA000086297,2022-01-10,TAVG,28.200000000000003,H,,S,
PAM00086097,2022-01-10,TMIN,19.0,,,S,
PAM00086097,2022-01-10,PRCP,0.30000000000000004,,,S,
PAM00086097,2022-01-10,TAVG,26.1,H,,S,
PAM00086128,2022-01-10,TMAX,40.6,,,S,
PAM00086128,2022-01-10,TMIN,20.0,,,S,
PAM00086128,2022-01-10,TAVG,29.8,H,,S,
PAM00086170,2022-01-10,TMIN,19.5,,,S,
PAM00086170,2022-01-10,TAVG,30.6,H,,S,
PAM00086185,2022-01-10,TMIN,20.400000000000002,,,S,
PAM00086185,2022-01-10,TAVG,29.1,H,,S,
PAM00086210,2022-01-10,TMIN,21.0,,,S,
PAM00086210,2022-01-10,PRCP,0.0,,,S,
PAM00086210,2022-01-10,TAVG,26.5,H,,S,
PAM00086218,2022-01-10,TMIN,21.0,,,S,
PAM00086218,2022-01-10,PRCP,0.0,,,S,
PAM00086218,2022-01-10,TAVG,28.200000000000003,H,,S,
PAM00086221,2022-01-10,TMIN,20.0,,,S,
PAM00086221,2022-01-10,TAVG,30.400000000000002,H,,S,
PAM00086233,2022-01-10,TMAX,33.4,,,S,
PAM00086233,2022-01-10,TMIN,19.0,,,S,
PAM00086233,2022-01-10,PRCP,0.0,,,S,
PAM00086233,2022-01-10,TAVG,25.400000000000002,H,,S,
PAM00086234,2022-01-10,TMIN,18.0,,,S,
PAM00086234,2022-01-10,TAVG,28.1,H,,S,
PAM00086255,2022-01-10,TMAX,37.0,,,S,
PAM00086255,2022-01-10,TMIN,22.0,,,S,
PAM00086255,2022-01-10,TAVG,30.400000000000002,H,,S,
PAM00086268,2022-01-10,TMIN,20.0,,,S,
PAM00086268,2022-01-10,TAVG,26.0,H,,S,
PAM00086285,2022-01-10,TMIN,18.5,,,S,
PAM00086285,2022-01-10,PRCP,0.0,,,S,
PAM00086285,2022-01-10,TAVG,25.3,H,,S,
PA000086068,2022-01-11,TMIN,22.400000000000002,,,S,
PA000086068,2022-01-11,PRCP,0.0,,,S,
PA000086068,2022-01-11,TAVG,29.700000000000003,H,,S,
PA000086134,2022-01-11,TMIN,20.200000000000003,,,S,
PA000086134,2022-01-11,TAVG,30.3,H,,S,
PA000086297,2022-01-11,TMIN,20.0,,,S,
PA000086297,2022-01-11,TAVG,29.5,H,,S,
PAM00086097,2022-01-11,TMIN,18.8,,,S,
PAM00086097,2022-01-11,PRCP,0.0,,,S,
PAM00086097,2022-01-11,TAVG,27.0,H,,S,
PAM00086128,2022-01-11,TMAX,38.6,,,S,
PAM00086128,2022-01-11,TMIN,19.8,,,S,
PAM00086128,2022-01-11,TAVG,29.3,H,,S,
PAM00086170,2022-01-11,TMIN,18.8,,,S,
PAM00086170,2022-01-11,TAVG,31.400000000000002,H,,S,
PAM00086185,2022-01-11,TMIN,18.0,,,S,
PAM00086185,2022-01-11,TAVG,27.700000000000003,H,,S,
PAM00086192,2022-01-11,TMAX,35.800000000000004,,,S,
PAM00086192,2022-01-11,TMIN,19.8,,,S,
PAM00086192,2022-01-11,TAVG,27.5,H,,S,
PAM00086210,2022-01-11,TMIN,20.0,,,S,
PAM00086210,2022-01-11,TAVG,27.1,H,,S,
PAM00086218,2022-01-11,TAVG,28.900000000000002,H,,S,
PAM00086221,2022-01-11,TMIN,19.8,,,S,
PAM00086221,2022-01-11,TAVG,29.700000000000003,H,,S,
PAM00086233,2022-01-11,TMIN,20.0,,,S,
PAM00086233,2022-01-11,TAVG,27.700000000000003,H,,S,
PAM00086234,2022-01-11,TMIN,18.0,,,S,
